,precision,recall,f1-score,support
COVID,0.42063492063492064,0.04884792626728111,0.0875309661436829,1085.0
Lung_Opacity,0.498220640569395,0.07760532150776053,0.1342925659472422,1804.0
Normal,0.4897063786702666,0.9489862655330281,0.6460373998219056,3058.0
Viral Pneumonia,0.23529411764705882,0.009925558312655087,0.01904761904761905,403.0
accuracy,0.4880314960629921,0.4880314960629921,0.4880314960629921,0.4880314960629921
macro avg,0.4109640143804103,0.2713412679051812,0.22172713774011243,6350.0
weighted avg,0.46417709604118385,0.4880314960629921,0.3654320387978423,6350.0
